"TOA5","73410","CR1000X","73410","CR1000X.8.4.0","CPU:Romeral_10032026.CR1X","36289","FTPMonitor"
"TIMESTAMP","RECORD","Batt_volt_Min","FTPResultRomeral","FTPResultRomeral_Raw","FTPResultRain"
"TS","RN","Volts","","",""
"","","Min","Smp","Smp","Smp"
"2026-04-10 00:10:00",119,12.85,-1,-1,-1
"2026-04-10 06:10:00",120,12.69,-1,-1,-2
"2026-04-10 12:10:00",121,13.75,-1,-1,-2
"2026-04-10 18:10:00",122,13.57,-1,-1,-2
"2026-04-11 00:10:00",123,12.84,-1,-1,-1
"2026-04-11 06:10:00",124,12.62,-1,-1,-2
"2026-04-11 12:10:00",125,13.58,-1,-1,-2
"2026-04-11 18:10:00",126,13.59,-1,-1,-2
"2026-04-12 00:10:00",127,12.82,-1,-1,-1
"2026-04-12 06:10:00",128,12.66,-1,-1,-2
"2026-04-12 12:10:00",129,13.55,-1,-1,-2
"2026-04-12 18:10:00",130,13.58,-1,-1,-2
"2026-04-13 00:10:00",131,12.83,-1,-1,-1
"2026-04-13 06:10:00",132,12.69,-1,-1,-2
"2026-04-13 12:10:00",133,13.75,-1,-1,-2
"2026-04-13 18:10:00",134,13.57,-1,-1,-2
"2026-04-14 00:10:00",135,12.87,-1,-1,-1
"2026-04-14 06:10:00",136,12.74,-1,-1,-2
"2026-04-14 12:10:00",137,13.59,-1,-1,-2
"2026-04-14 18:10:00",138,13.57,-1,-1,-2
"2026-04-15 00:10:00",139,12.85,-1,-1,-1
"2026-04-15 06:10:00",140,12.74,-1,-1,-2
"2026-04-15 12:10:00",141,13.58,-1,-1,-2
"2026-04-15 18:10:00",142,13.59,-1,-1,-2
"2026-04-16 00:10:00",143,12.85,-1,-1,-1
"2026-04-16 06:10:00",144,12.71,-1,-1,-2
"2026-04-16 12:10:00",145,13.98,-1,-1,-2
"2026-04-16 18:10:00",146,13.58,-1,-1,-2
"2026-04-17 00:10:00",147,12.84,-1,-1,-1
"2026-04-17 06:10:00",148,12.68,-1,-1,-2
"2026-04-17 12:10:00",149,14,-1,-1,-2
"2026-04-17 18:10:00",150,13.58,-1,-1,-2
"2026-04-18 00:10:00",151,12.84,-1,-1,-1
"2026-04-18 06:10:00",152,12.62,-1,-1,-2
"2026-04-18 12:10:00",153,13.58,-1,-1,-2
"2026-04-18 18:10:00",154,13.58,-1,-1,-2
"2026-04-19 00:10:00",155,12.83,-1,-1,-1
"2026-04-19 06:10:00",156,12.62,-1,-1,-2
"2026-04-19 12:10:00",157,13.99,-1,-1,-2
"2026-04-19 18:10:00",158,13.58,-1,-1,-2
"2026-04-20 00:10:00",159,12.84,-1,-1,-1
"2026-04-20 06:10:00",160,12.69,-1,-1,-2
"2026-04-20 12:10:00",161,13.98,-1,-1,-2
"2026-04-20 18:10:00",162,13.58,-1,-1,-2
"2026-04-21 00:10:00",163,12.84,-1,-1,-1
"2026-04-21 06:10:00",164,12.62,-1,-1,-2
"2026-04-21 12:10:00",165,13.58,-1,-1,-2
"2026-04-21 18:10:00",166,13.58,-1,-1,-2
"2026-04-22 00:10:00",167,12.84,-1,-1,-1
"2026-04-22 06:10:00",168,12.63,-1,-1,-2
"2026-04-22 12:10:00",169,13.58,-1,-1,-2
"2026-04-22 18:10:00",170,13.57,-1,-1,-2
"2026-04-23 00:10:00",171,12.84,-1,-1,-1
"2026-04-23 06:10:00",172,12.64,-1,-1,-2
