"TOA5","73410","CR1000X","73410","CR1000X.8.4.0","CPU:Romeral_10032026.CR1X","36289","Romeral"
"TIMESTAMP","RECORD","Batt_volt_Min","BatterySOC","PTemp","VWC_1_158cm","VWC_2_518cm","VWC_3_878cm","VWC_4_1239cm","VWC_5_1599cm","VWC_6_1960cm","VWC_7_2320cm","VWC_8_2681cm","PT_1_203cm","PT_2_563cm","PT_3_923cm","PT_4_1284cm","PT_5_1644cm","PT_6_2005cm","PT_7_2365cm","PT_8_2726cm","TEMP_1_158cm","TEMP_2_518cm","TEMP_3_878cm","TEMP_4_1239cm","TEMP_5_1599cm","TEMP_6_1960cm","TEMP_7_2320cm","TEMP_8_2681cm","DPT_1_244cm","DPT_2_604cm","DPT_3_964cm","DPT_4_1325cm","DPT_5_1685cm","DPT_6_2046cm","DPT_7_2406cm","DPT_8_2767cm","APT_EX","APT_2_604cm","APT_3_964cm","APT_4_1325cm","APT_5_1685cm","APT_6_2046cm","APT_7_2406cm","APT_8_2767cm"
"TS","RN","Volts","%","Deg C","%","%","%","%","%","%","%","%","mBar","mBar","mBar","mBar","mBar","mBar","mBar","mBar","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-20 21:30:00",351,13.59,0.99,28.92,2.7,26.7,36,33.3,42.1,39.3,45.9,32,619.3,635.6,622.3,615.5,611,654.7,641.9,633.1,29.3,27.1,26.9,26.8,26.3,25.9,25.6,25.7,0.7,0.5,0.9,0.4,-0.2,-2.1,-0.5,0.6,948,-0.716,-0.362,-3.72,-4.804,-2.464,-0.515,0.771
"2026-01-20 21:45:00",352,13.54,0.97,28.69,2.7,27.1,36,33.7,42.5,39.8,45.9,32.4,617.3,635.1,622.1,613.8,610.3,655,641.8,633.2,29.2,27.1,26.9,26.8,26.3,25.9,25.5,25.7,0.7,0.5,0.9,0.4,-0.1,-2.1,-0.5,0.6,948,-0.732,-0.349,-3.691,-4.766,-2.506,-0.506,0.759
"2026-01-20 22:00:00",353,13.37,0.92,28.17,2.7,26.4,36.5,33.3,42.5,40.2,46.3,32,613.5,634,621.3,612.9,609.7,655.5,641.6,618.9,29.2,27.1,26.8,26.8,26.3,25.8,25.5,25.7,0.8,0.5,0.9,0.4,-0.1,-2.1,-0.5,0.6,948,-0.597,-0.24,-3.635,-4.685,-2.359,-0.378,0.969
"2026-01-20 22:15:00",354,13.24,0.88,27.46,2.8,26.7,36,33.7,42.1,39.8,46.3,31.7,609.8,632.8,620.6,612,609.3,656.2,641.5,619.2,29.1,27,26.8,26.7,26.3,25.8,25.5,25.7,0.7,0.4,0.8,0.4,-0.2,-2.1,-0.6,0.6,948,-0.588,-0.182,-3.624,-4.644,-2.351,-0.371,1.006
"2026-01-20 22:30:00",355,13.09,0.81,26.64,2.7,26.7,36,33.3,42.1,39.8,45.9,31.7,608.8,631.8,619.5,611.2,608.7,656.4,641.3,619.3,29,27,26.8,26.7,26.3,25.8,25.5,25.7,0.7,0.4,0.8,0.4,-0.2,-2.1,-0.6,0.6,948,-0.513,-0.095,-3.489,-4.523,-2.279,-0.256,1.079
"2026-01-20 22:45:00",356,13.05,0.8,25.91,2.7,26.7,36,33.3,42.5,40.2,45.9,31.7,606.5,631.4,619,610.8,608.7,656.6,641.6,619.6,29,27,26.8,26.7,26.3,25.8,25.5,25.7,0.7,0.4,0.7,0.3,-0.3,-2.2,-0.6,0.6,948,-0.574,-0.127,-3.505,-4.52,-2.292,-0.28,1.101
"2026-01-20 23:00:00",357,12.99,0.77,25.22,2.7,26.7,36,34.1,42.1,39.8,45.9,31.7,604.6,631.9,618.4,610.6,608.5,656.6,641.7,619.9,29,27,26.8,26.7,26.3,25.8,25.5,25.6,0.7,0.3,0.6,0.2,-0.4,-2.3,-0.7,0.6,948,-0.651,-0.263,-3.645,-4.659,-2.46,-0.391,1.135
"2026-01-20 23:15:00",358,12.96,0.77,24.52,2.5,27.1,36,33.3,42.5,39.8,45.9,31.7,603.9,632.4,618.9,611.4,609.5,657.7,642.8,621.2,28.9,27,26.7,26.7,26.2,25.8,25.4,25.6,0.7,0.3,0.7,0.3,-0.3,-2.2,-0.7,0.6,948,-0.477,-0.105,-3.419,-4.489,-2.238,-0.157,1.272
"2026-01-20 23:30:00",359,12.97,0.77,23.81,2.7,26.7,36,33.7,42.5,39.8,46.3,31.7,602.6,632.3,618.5,611.5,609.5,658,643.2,620.9,28.9,27,26.7,26.6,26.2,25.7,25.4,25.6,0.7,0.4,0.8,0.3,-0.2,-2.2,-0.6,0.6,948,-0.449,0.013,-3.31,-4.403,-2.162,-0.124,1.301
"2026-01-20 23:45:00",360,12.96,0.77,23.14,2.7,26.7,36.5,32.9,42.1,39.8,46.3,31.7,601.4,632.3,618.1,611.2,609.6,658.2,643.4,621.8,28.8,26.9,26.7,26.6,26.2,25.7,25.4,25.6,0.7,0.3,0.7,0.3,-0.3,-2.3,-0.7,0.6,948,-0.39,0.034,-3.278,-4.403,-2.146,-0.096,1.339
"2026-01-21 00:00:00",361,12.95,0.77,22.55,2.7,26.7,36,33.3,42.1,39.3,46.3,31.7,600.5,632,617.9,611.5,609.6,658.4,643.7,622.6,28.8,26.9,26.7,26.6,26.2,25.7,25.4,25.6,0.7,0.2,0.6,0.2,-0.4,-2.4,-0.8,0.5,948,-0.466,-0.002,-3.426,-4.492,-2.258,-0.211,1.309
"2026-01-21 00:15:00",362,12.94,0.77,22.04,2.7,26.7,36,33.3,42.5,39.8,45.9,31.7,599.6,632.6,617.6,611.2,609.8,658.6,644,623.2,28.7,26.8,26.7,26.6,26.2,25.7,25.4,25.6,0.7,0.2,0.6,0.1,-0.5,-2.4,-0.9,0.6,948,-0.459,-0.05,-3.435,-4.529,-2.276,-0.288,1.311
"2026-01-21 00:30:00",363,12.93,0.77,21.59,2.7,26.7,36,33.3,42.5,39.8,45.9,31.7,599,632.9,617.5,611.3,610,658.9,644.3,623.7,28.7,26.8,26.7,26.5,26.2,25.7,25.4,25.6,0.7,0,0.4,0,-0.6,-2.5,-1,0.6,948,-0.679,-0.276,-3.611,-4.72,-2.459,-0.373,1.348
"2026-01-21 00:45:00",364,12.92,0.76,21.19,2.7,26.7,36,33.3,42.5,39.8,46.3,31.7,598.4,632.7,617.4,611.4,610.2,659,644.6,624.3,28.7,26.8,26.6,26.6,26.1,25.7,25.4,25.6,0.7,0,0.4,0,-0.6,-2.6,-1,0.6,948,-0.625,-0.174,-3.507,-4.581,-2.38,-0.334,1.409
"2026-01-21 01:00:00",365,12.92,0.76,20.85,2.7,26.7,36,33.7,42.1,39.8,45.9,31.7,597.9,633.4,617.5,611.8,610.4,655.4,644.8,624.9,28.6,26.8,26.6,26.5,26.1,25.7,25.4,25.6,0.7,-0.1,0.3,-0.1,-0.7,-2.7,-1.1,0.6,948,-0.694,-0.276,-3.644,-4.745,-2.545,-0.431,1.429
"2026-01-21 01:15:00",366,12.91,0.76,20.57,2.7,27.1,36,33.7,42.1,39.8,45.9,32,597.6,633.9,617.6,612.3,610.7,655.6,645.1,625.3,28.6,26.8,26.6,26.5,26.1,25.6,25.4,25.6,0.7,-0.2,0.2,-0.2,-0.8,-2.8,-1.2,0.6,948,-0.698,-0.227,-3.605,-4.703,-2.517,-0.397,1.55
"2026-01-21 01:30:00",367,12.89,0.75,20.36,2.7,26.7,36.5,32.9,42.5,40.2,46.3,32,597.4,634.5,617.6,612.4,611,655.9,645.4,625.9,28.6,26.8,26.6,26.5,26.1,25.7,25.3,25.5,0.7,-0.2,0.2,-0.2,-0.8,-2.8,-1.2,0.6,948,-0.788,-0.277,-3.624,-4.661,-2.499,-0.409,1.554
"2026-01-21 01:45:00",368,12.9,0.75,20.18,2.8,26.7,36.5,33.7,42.1,39.8,46.3,31.7,597.1,634.8,617.7,612.6,611.3,656.2,645.6,626.5,28.5,26.8,26.6,26.5,26.1,25.6,25.3,25.5,0.6,-0.2,0.2,-0.2,-0.8,-2.8,-1.2,0.6,948,-0.875,-0.401,-3.785,-4.817,-2.703,-0.553,1.495
"2026-01-21 02:00:00",369,12.89,0.75,20.02,2.7,26.7,36,33.3,42.5,39.8,45.9,31.7,597,635.5,617.9,612.9,611.6,656.5,645.3,627.3,28.5,26.7,26.5,26.5,26.1,25.6,25.3,25.5,0.7,-0.3,0.1,-0.3,-0.9,-2.9,-1.3,0.6,948,-0.907,-0.423,-3.821,-4.823,-2.624,-0.531,1.495
"2026-01-21 02:15:00",370,12.89,0.74,19.89,2.7,26.7,36,33.3,42.5,39.8,46.3,32,596.8,636,618,613.2,612,654.8,645.3,628.1,28.5,26.7,26.5,26.4,26,25.6,25.2,25.5,0.6,-0.3,0.1,-0.3,-0.9,-2.9,-1.3,0.6,948,-0.9,-0.411,-3.768,-4.851,-2.634,-0.569,1.505
"2026-01-21 02:30:00",371,12.88,0.74,19.79,2.7,26.7,36.5,33.3,42.1,40.2,45.9,31.7,596.7,636.3,618.2,613.4,612.3,655.2,645.5,628.7,28.4,26.7,26.6,26.4,26.1,25.6,25.3,25.5,0.6,-0.5,-0.1,-0.5,-1.1,-3.1,-1.4,0.5,948,-1.027,-0.527,-3.897,-4.994,-2.795,-0.731,1.463
"2026-01-21 02:45:00",372,12.87,0.74,19.7,2.7,26.7,36.5,33.7,42.1,39.8,45.9,31.7,596.6,637.2,618.3,613.8,612.6,655.4,645.9,629.3,28.4,26.7,26.5,26.4,26,25.6,25.3,25.5,0.6,-0.5,-0.1,-0.5,-1.1,-3.1,-1.5,0.6,948,-1.054,-0.563,-3.89,-4.96,-2.845,-0.758,1.494
"2026-01-21 03:00:00",373,12.87,0.74,19.6,2.7,27.1,36,33.7,41.6,39.8,45.9,31.7,596.5,637.5,618.5,614.1,612.9,655.7,646.1,629.9,28.4,26.7,26.5,26.4,26,25.6,25.3,25.5,0.6,-0.5,-0.1,-0.5,-1.1,-3.1,-1.5,0.5,948,-1.08,-0.638,-3.882,-4.966,-2.8,-0.671,1.502
"2026-01-21 03:15:00",374,12.87,0.74,19.52,2.7,26.7,36.5,34.1,42.1,39.8,46.6,31.7,596.3,638.6,618.6,614.5,613.2,656.1,646.3,630.5,28.3,26.6,26.5,26.4,26,25.6,25.2,25.5,0.6,-0.6,-0.2,-0.6,-1.2,-3.2,-1.6,0.5,948,-1.126,-0.621,-3.962,-5.028,-2.906,-0.758,1.541
"2026-01-21 03:30:00",375,12.86,0.74,19.45,2.7,26.7,36.5,33.7,42.5,39.3,45.5,32,596.4,638.9,618.3,614.8,613.6,656.3,645.8,631.1,28.3,26.6,26.5,26.4,26,25.6,25.2,25.5,0.6,-0.7,-0.3,-0.7,-1.3,-3.3,-1.7,0.6,948,-1.289,-0.792,-4.141,-5.199,-3.026,-0.997,1.528
"2026-01-21 03:45:00",376,12.85,0.74,19.41,2.7,26.7,36,33.7,42.5,39.8,45.5,32,596.4,639.9,618.3,615.3,613.9,656.7,645,631.8,28.3,26.6,26.4,26.4,26,25.6,25.2,25.4,0.6,-0.8,-0.4,-0.8,-1.4,-3.4,-1.8,0.5,948,-1.408,-0.927,-4.202,-5.282,-3.128,-0.938,1.6
"2026-01-21 04:00:00",377,12.85,0.74,19.38,2.7,26.7,36.5,33.3,42.5,39.3,45.9,32,596.5,640.5,618.2,615.6,614.2,657,644.8,632.5,28.3,26.6,26.4,26.3,25.9,25.5,25.2,25.4,0.6,-0.7,-0.3,-0.7,-1.3,-3.4,-1.7,0.6,948,-1.265,-0.755,-4.094,-5.175,-3.038,-0.936,1.587
"2026-01-21 04:15:00",378,12.85,0.74,19.35,2.7,26.7,36,33.7,42.5,39.8,46.3,32,596.6,641.3,618.3,615.9,614.6,657.2,644.7,633,28.2,26.6,26.4,26.3,25.9,25.5,25.2,25.4,0.6,-0.8,-0.4,-0.8,-1.4,-3.4,-1.8,0.6,948,-1.374,-0.872,-4.171,-5.269,-3.13,-0.98,1.616
"2026-01-21 04:30:00",379,12.84,0.73,19.34,2.7,26.7,36,34.1,42.5,39.3,45.5,32,596.7,641.9,618.5,616.3,614.9,657.5,644.6,633.4,28.2,26.5,26.4,26.3,25.9,25.5,25.2,25.4,0.6,-0.8,-0.4,-0.8,-1.4,-3.5,-1.8,0.6,948,-1.487,-0.99,-4.305,-5.357,-3.21,-1.034,1.546
"2026-01-21 04:45:00",380,12.84,0.74,19.34,2.5,26.4,36.5,33.7,42.1,39.8,45.9,31.3,596.9,642.7,618.3,616.7,615.2,656,644.4,633.8,28.1,26.5,26.4,26.3,25.9,25.5,25.2,25.4,0.6,-0.8,-0.4,-0.8,-1.4,-3.5,-1.8,0.5,948,-1.524,-0.929,-4.242,-5.333,-3.227,-1.049,1.585
"2026-01-21 05:00:00",381,12.83,0.73,19.34,2.7,27.1,36.5,32.9,42.1,39.8,46.3,31.7,597,643.4,618,617.1,615.6,656.3,644.4,634.2,28.1,26.5,26.3,26.3,25.9,25.5,25.2,25.4,0.6,-0.8,-0.4,-0.8,-1.4,-3.4,-1.8,0.6,948,-1.41,-0.857,-4.197,-5.239,-3.159,-0.961,1.597
"2026-01-21 05:15:00",382,12.83,0.73,19.35,2.7,26.7,36.5,33.7,42.5,39.3,46.3,32.4,597.2,644,617.9,617.4,616,656.5,644.7,634.6,28.1,26.5,26.4,26.3,25.9,25.5,25.1,25.4,0.6,-0.8,-0.4,-0.8,-1.4,-3.4,-1.8,0.6,948,-1.345,-0.838,-4.097,-5.158,-3.146,-0.987,1.603
"2026-01-21 05:30:00",383,12.83,0.73,19.35,2.7,26.4,36.5,32.9,42.5,39.8,45.9,31.7,597.3,644.7,617.8,617.8,616.3,656.8,644,635,28,26.5,26.3,26.3,25.9,25.5,25.1,25.4,0.6,-0.8,-0.4,-0.8,-1.4,-3.5,-1.8,0.6,948,-1.43,-0.954,-4.2,-5.272,-3.187,-1.057,1.562
"2026-01-21 05:45:00",384,12.83,0.73,19.36,2.7,26.7,36,33.3,42.1,39.8,45.5,31.7,597.5,645.4,617.7,618.5,616.6,657.2,644.4,635.5,28,26.4,26.3,26.3,25.9,25.5,25.2,25.4,0.6,-0.8,-0.4,-0.8,-1.4,-3.5,-1.8,0.6,948,-1.401,-0.9,-4.191,-5.29,-3.183,-0.961,1.619
"2026-01-21 06:00:00",385,12.82,0.72,19.35,2.7,26.7,36,33.7,42.5,39.3,45.1,32,597.6,645.9,617.6,618.8,617,657.5,644.8,617.9,28,26.5,26.3,26.3,25.8,25.5,25.2,25.4,0.6,-0.8,-0.4,-0.8,-1.5,-3.5,-1.8,0.6,948,-1.402,-0.916,-4.19,-5.316,-3.238,-1.017,1.64
"2026-01-21 06:15:00",386,12.82,0.72,19.32,2.5,27.1,36,33.7,42.1,39.8,45.9,32,597.7,646.9,617.5,619.1,617.2,657.8,645,618.5,28,26.4,26.3,26.2,25.8,25.5,25.1,25.3,0.6,-0.8,-0.4,-0.8,-1.4,-3.5,-1.8,0.6,948,-1.476,-0.9,-4.21,-5.306,-3.272,-1.079,1.553
"2026-01-21 06:30:00",387,12.82,0.72,19.26,2.5,26.7,36,33.7,42.5,38.9,45.9,31.7,597.8,647.3,617.2,619.4,617.3,658.1,645.3,619,27.9,26.4,26.3,26.2,25.8,25.5,25.1,25.3,0.6,-0.8,-0.4,-0.8,-1.4,-3.5,-1.8,0.5,948,-1.431,-0.867,-4.19,-5.25,-3.229,-1.019,1.593
"2026-01-21 06:45:00",388,12.81,0.72,19.16,2.7,26.7,36,33.7,42.1,40.2,45.9,31.7,597.8,648,617.1,619.7,617.6,658.2,645.6,619.3,27.9,26.4,26.2,26.2,25.8,25.4,25.1,25.3,0.6,-0.9,-0.5,-0.9,-1.5,-3.6,-1.9,0.5,948,-1.512,-0.955,-4.285,-5.345,-3.34,-1.057,1.602
"2026-01-21 07:00:00",389,12.81,0.72,19.03,2.7,26.7,36.5,32.9,42.1,39.8,45.9,31.7,597.8,649.3,616.9,620.1,617.9,658.5,645.8,619.7,27.9,26.4,26.2,26.2,25.8,25.4,25.1,25.3,0.6,-1,-0.6,-1,-1.6,-3.6,-2,0.5,948,-1.573,-1.095,-4.351,-5.453,-3.407,-1.166,1.58
"2026-01-21 07:15:00",390,12.8,0.72,18.9,2.5,26.7,36.5,33.7,42.1,39.8,46.3,32,597.7,651.8,616.3,620.6,618.2,656.9,646.1,620.1,27.8,26.4,26.3,26.2,25.8,25.4,25.1,25.3,0.6,-1,-0.6,-1,-1.6,-3.7,-2,0.5,948,-1.579,-1.083,-4.318,-5.424,-3.314,-1.094,1.677
"2026-01-21 07:30:00",391,12.8,0.71,18.76,2.7,26.7,36,33.7,42.1,39.8,46.3,31.7,597.6,654,616.1,620.7,618.4,657.2,645.2,620.5,27.8,26.3,26.2,26.2,25.8,25.4,25.1,25.2,0.6,-1.1,-0.7,-1.1,-1.7,-3.7,-2.1,0.5,948,-1.689,-1.212,-4.459,-5.521,-3.522,-1.293,1.613
"2026-01-21 07:45:00",392,12.8,0.71,18.62,2.7,26.7,36,33.7,42.5,39.8,45.9,31.7,597.5,655.5,615.7,621.3,618.6,657.4,645.4,621,27.7,26.3,26.2,26.2,25.8,25.4,25.1,25.2,0.6,-1.2,-0.8,-1.2,-1.8,-3.9,-2.2,0.5,948,-1.78,-1.243,-4.518,-5.504,-3.514,-1.285,1.65
"2026-01-21 08:00:00",393,12.79,0.71,18.48,2.7,26.7,36.5,32.9,42.1,40.2,45.9,32,597.5,658.6,615.5,621.4,619,657.7,644.6,621.3,27.7,26.3,26.2,26.1,25.8,25.4,25.1,25.2,0.6,-1.4,-0.9,-1.3,-2,-4,-2.3,0.5,949,-1.948,-1.445,-4.716,-5.762,-3.723,-1.451,1.664
"2026-01-21 08:15:00",394,12.79,0.71,18.35,2.7,26.7,36,33.3,42.1,39.3,45.9,31.7,597.6,661.7,615.2,621.7,619.2,658,644.9,621.7,27.7,26.3,26.2,26.1,25.8,25.4,25.1,25.2,0.6,-1.5,-1.1,-1.5,-2.1,-4.2,-2.5,0.6,949,-2,-1.462,-4.762,-5.829,-3.771,-1.531,1.733
"2026-01-21 08:30:00",395,12.79,0.71,18.23,2.7,27.1,36.5,33.7,41.6,39.8,45.9,32,597.6,662.9,615,621.9,619.3,658.2,645.2,622,27.7,26.3,26.2,26.1,25.7,25.4,25.1,25.2,0.6,-1.6,-1.2,-1.6,-2.2,-4.3,-2.6,0.5,949,-2.252,-1.668,-4.973,-6.071,-4.059,-1.786,1.619
"2026-01-21 08:45:00",396,12.76,0.71,18.12,2.5,26.7,36.5,33.7,42.5,39.8,45.9,32,597.6,663.6,614.4,622.3,619.5,658.4,645.4,622.5,27.6,26.3,26.1,26.1,25.7,25.4,25,25.2,0.6,-1.8,-1.4,-1.8,-2.4,-4.5,-2.8,0.5,949,-2.343,-1.784,-5.005,-6.166,-4.14,-1.875,1.698
"2026-01-21 09:00:00",397,12.78,0.71,18.03,2.7,26.7,36.5,33.3,42.5,39.3,45.9,32,597.8,664.6,614.1,622.6,619.8,658.7,645.1,623.2,27.6,26.2,26.1,26.1,25.7,25.4,25.1,25.2,0.6,-1.9,-1.5,-1.9,-2.5,-4.6,-2.9,0.5,949,-2.51,-1.948,-5.192,-6.283,-4.266,-1.901,1.791
"2026-01-21 09:15:00",398,12.77,0.7,17.97,2.7,26.7,36,33.7,42.1,39.8,46.3,32,598.1,665.7,614,623,620,659,644.4,623.8,27.6,26.2,26.1,26.1,25.7,25.3,25.1,25.2,0.5,-2.1,-1.7,-2.1,-2.7,-4.8,-3.1,0.5,949,-2.732,-2.178,-5.415,-6.461,-4.482,-2.235,1.714
"2026-01-21 09:30:00",399,12.77,0.7,17.95,2.5,27.1,36,33.7,42.1,39.8,46.3,32.4,598.4,666.9,613.9,623.4,620.4,659.2,644.8,624.5,27.6,26.2,26.1,26.1,25.7,25.4,25,25.2,0.5,-2.3,-1.9,-2.3,-2.9,-5,-3.2,0.5,949,-2.881,-2.325,-5.56,-6.66,-4.64,-2.312,1.757
"2026-01-21 09:45:00",400,12.77,0.7,17.97,2.5,26.7,36,33.3,42.1,39.8,46.3,32,598.8,667.9,614.2,623.8,620.6,658.2,645,625.1,27.5,26.2,26.1,26.1,25.7,25.4,25,25.2,0.5,-2.3,-1.9,-2.3,-2.9,-5,-3.3,0.5,950,-2.917,-2.353,-5.625,-6.701,-4.752,-2.364,1.649
"2026-01-21 10:00:00",401,12.77,0.71,18.02,2.7,26.7,36,32.9,42.5,39.8,45.9,32,599.1,669.1,614.5,624.2,620.9,658.4,644.5,625.7,27.5,26.2,26.1,26.1,25.7,25.3,25,25.2,0.5,-2.5,-2.1,-2.5,-3.1,-5.2,-3.4,0.5,950,-3.1,-2.57,-5.806,-6.873,-4.909,-2.53,1.748
"2026-01-21 10:15:00",402,12.8,0.71,18.13,2.7,27.1,36,33.7,42.1,39.8,45.5,32,599.5,670.2,614.7,625,621.1,658.8,644.7,626.4,27.5,26.2,26.1,26,25.7,25.3,25,25.1,0.5,-2.6,-2.2,-2.6,-3.3,-5.3,-3.6,0.5,950,-3.295,-2.724,-5.98,-7.058,-5.114,-2.787,1.66
"2026-01-21 10:30:00",403,12.82,0.73,18.29,2.5,26.7,36,32.9,42.5,39.3,46.3,32.4,600,671.6,615,625.8,621.4,659.1,645,627,27.5,26.2,26.1,26,25.7,25.3,25,25.1,0.5,-2.9,-2.5,-2.8,-3.5,-5.6,-3.8,0.5,950,-3.439,-2.907,-6.137,-7.242,-5.272,-2.891,1.76
"2026-01-21 10:45:00",404,12.86,0.74,18.51,2.7,27.1,36,33.3,42.5,39.8,45.9,32,600.6,673,615.3,626.5,621.5,659.4,644.9,627.7,27.4,26.1,26.1,26,25.7,25.3,25,25.1,0.5,-2.9,-2.5,-2.9,-3.5,-5.6,-3.8,0.5,950,-3.526,-2.98,-6.232,-7.353,-5.407,-3.009,1.665
"2026-01-21 11:00:00",405,12.95,0.77,18.75,2.7,26.7,36.5,34.1,42.5,39.8,46.6,31.7,601.3,674.3,615.2,627.3,621.8,659.8,645.3,628.3,27.4,26.1,26,26,25.6,25.3,25,25.1,0.5,-2.9,-2.5,-2.9,-3.5,-5.6,-3.8,0.5,950,-3.554,-3.036,-6.272,-7.378,-5.409,-3.026,1.709
"2026-01-21 11:15:00",406,13.01,0.79,19.01,2.7,26.7,36,33.3,42.1,39.8,46.3,31.7,601.9,675.7,615.3,628.1,622.3,660.2,645.3,629,27.4,26.1,26,26,25.6,25.2,25,25.1,0.5,-3,-2.6,-2.9,-3.6,-5.7,-3.9,0.5,950,-3.711,-3.132,-6.392,-7.451,-5.464,-3.125,1.643
"2026-01-21 11:30:00",407,13.03,0.79,19.27,2.5,26.7,36.5,33.7,42.1,39.8,45.5,31.7,602.5,677.4,615.5,628.7,622.6,660.5,645.3,629.7,27.3,26.1,26,26,25.6,25.3,25,25.1,0.5,-3.1,-2.7,-3.1,-3.8,-5.9,-4.1,0.5,951,-3.863,-3.315,-6.51,-7.697,-5.696,-3.308,1.539
"2026-01-21 11:45:00",408,13.13,0.83,19.49,2.7,27.1,36.5,33.7,41.6,39.8,46.3,32,603.2,679.4,615.6,629.3,623.1,660.9,645.6,630.3,27.3,26.1,26,26,25.6,25.2,25,25.1,0.5,-3.2,-2.8,-3.2,-3.8,-5.9,-4.1,0.5,951,-3.871,-3.378,-6.613,-7.676,-5.779,-3.357,1.646
"2026-01-21 12:00:00",409,13.32,0.9,19.68,2.5,26.7,36.5,33.7,42.1,39.3,46.3,32,603.9,681.3,615.9,630.1,623.4,661.4,646.2,631.1,27.3,26.1,26,25.9,25.6,25.2,24.9,25.1,0.6,-3,-2.6,-3,-3.6,-5.7,-4,0.5,950,-3.722,-3.203,-6.469,-7.529,-5.572,-3.187,1.597
"2026-01-21 12:15:00",410,13.45,0.93,19.89,2.7,27.1,36,33.7,42.5,39.8,46.3,32,604.8,683.3,616.1,630.9,623.6,661.6,646.5,631.9,27.3,26.1,26,25.9,25.6,25.2,25,25.1,0.5,-3,-2.6,-3,-3.6,-5.8,-4,0.5,950,-3.69,-3.141,-6.414,-7.466,-5.576,-3.164,1.638
"2026-01-21 12:30:00",411,13.59,1,20.15,2.5,26.7,36,33.7,42.1,39.3,45.9,32,605.7,685.5,616.3,631.7,624.1,660.3,647,632.6,27.2,26.1,25.9,25.9,25.6,25.2,25,25.1,0.6,-3,-2.6,-3,-3.6,-5.7,-3.9,0.5,950,-3.673,-3.139,-6.418,-7.533,-5.622,-3.194,1.586
"2026-01-21 12:45:00",412,13.73,1,20.45,2.7,26.7,36.5,33.7,42.1,39.8,46.3,32,606.6,687.5,616.5,632.5,624.7,660.8,647.1,633.3,27.2,26,25.9,25.9,25.6,25.2,24.9,25.1,0.5,-3,-2.6,-3,-3.7,-5.8,-4,0.5,951,-3.816,-3.313,-6.528,-7.677,-5.733,-3.339,1.523
"2026-01-21 13:00:00",413,13.83,1,20.78,2.7,26.7,36.5,33.7,42.1,39.8,46.3,32,607.5,689.7,616.8,633.3,625,661.2,647.5,634,27.2,26,25.9,25.9,25.6,25.2,24.9,25.1,0.5,-3.1,-2.7,-3.1,-3.7,-5.8,-4,0.5,951,-3.887,-3.408,-6.577,-7.705,-5.809,-3.465,1.506
"2026-01-21 13:15:00",414,13.96,1,21.1,2.5,27.1,36,33.3,42.1,39.8,46.3,32,608.5,692,617.3,629.4,619,661.7,647.6,634.8,27.2,26,25.9,25.9,25.6,25.2,24.9,25.1,0.5,-3.1,-2.7,-3.1,-3.7,-5.8,-4,0.5,951,-3.902,-3.38,-6.537,-7.658,-5.79,-3.341,1.518
"2026-01-21 13:30:00",415,13.98,1,21.49,2.5,26.7,36.5,33.7,42.5,39.8,46.3,32,609.5,694,617.5,628.3,618.8,662.1,647.9,635.4,27.2,26,25.9,25.9,25.6,25.2,24.9,25.1,0.6,-3,-2.6,-3,-3.6,-5.8,-4,0.5,951,-3.865,-3.428,-6.584,-7.71,-5.819,-3.418,1.44
"2026-01-21 13:45:00",416,13.98,1,21.96,2.7,26.7,36.5,33.7,42.1,39.8,45.9,31.7,610.6,696.7,617.9,627.8,618.8,662.6,648,636.1,27.2,26,25.9,25.9,25.5,25.2,24.9,25,0.6,-2.9,-2.5,-2.9,-3.5,-5.7,-3.9,0.5,951,-3.807,-3.322,-6.473,-7.624,-5.711,-3.276,1.446
"2026-01-21 14:00:00",417,13.98,1,22.68,2.7,26.7,36,33.7,42.5,39.8,45.9,31.7,611.7,699.5,618.5,628.1,618.7,662.8,647.9,637.2,27.1,25.9,25.9,25.9,25.5,25.2,24.9,25,0.6,-2.7,-2.4,-2.7,-3.4,-5.5,-3.7,0.5,950,-3.548,-3.088,-6.273,-7.378,-5.442,-3.055,1.497
"2026-01-21 14:15:00",418,13.98,1,23.43,2.5,26.7,36,33.7,42.5,39.8,46.3,31.7,612.6,702.5,618.6,627.2,616.7,662.6,647.8,695.7,27.1,25.9,25.8,25.8,25.5,25.2,24.9,25,0.6,-2.6,-2.2,-2.6,-3.3,-5.4,-3.6,0.5,951,-3.596,-3.126,-6.294,-7.429,-5.552,-3.136,1.295
